gakkou	seibetu	q2_1	q2_2	q2_3	q2_4	q2_5	q2_6	q3.1	q3.2	q4.1	q4.3.1	q4.3.2	q5	q7	q8
101	1	2	 	 	 	 	 	1	1	3	2	8	2	2	 
101	1	1	 	 	 	 	 	1	1	4	2	4	2	2	 
101	1	1	 	 	 	 	 	1	1	5	3	6	1	1	 
101	1	2	 	 	 	 	 	2	2	3	2	8	2	1	 
101	1	5	 	 	 	 	 	1	1	6	2	5	2	2	1
101	1	1	 	 	 	 	 	1	1	6	2	4	2	2	 
101	1	1	 	 	 	 	 	1	1	4	1	11	2	2	 
101	1	2	 	 	 	 	 	1	1	5	2	1	2	2	 
101	1	5	 	 	 	 	 	2	3	6	2	7	3	1	1
101	1	1	 	 	 	 	 	2	2	6	2	8	2	2	 
101	1	1	 	 	 	 	 	1	1	1	2	5	2	2	 
101	1	1	 	 	 	 	 	2	2	4	2	5	3	2	1
101	1	5	 	 	 	 	 	1	1	4	2	3	2	2	 
101	1	2	 	 	 	 	 	2	2	3	2	7	2	1	 
101	1	1	 	 	 	 	 	2	4	14	2	3	9	1	 
101	1	2	 	 	 	 	 	2	2	3	2	8	6	1	 
101	1	2	 	 	 	 	 	2	2	4	2	10	2	3	1
101	2	4	 	 	 	 	 	2	1	5	2	11	1	5	 
101	2	4	 	 	 	 	 	1	1	6	2	2	1	2	 
101	2	4	 	 	 	 	 	2	3	14	2	6	1	6	 
101	2	4	 	 	 	 	 	2	3	5	2	4	2	1	 
101	2	4	 	 	 	 	 	2	2	3	2	4	2	4	 
101	2	1	 	 	 	 	 	2	4	10	2	6	3	1	1
101	2	4	 	 	 	 	 	2	2	5	2	7	5	1	 
101	2	4	 	 	 	 	 	1	1	3	2	2	4	1	 
101	2	4	 	 	 	 	 	2	3	5	2	7	4	1	 
101	2	4	 	 	 	 	 	2	3	6	2	3	5	1	 
101	2	4	 	 	 	 	 	2	3	1	2	9	2	5	 
101	2	4	 	 	 	 	 	2	3	4	3	3	1	5	 
101	2	4	 	 	 	 	 	2	3	3	2	6	5	5	 
101	2	4	 	 	 	 	 	2	2	5	2	7	5	1	 
101	2	4	 	 	 	 	 	2	1	6	2	3	5	1	 
101	2	4	 	 	 	 	 	2	1	4	2	6	6	1	 
101	2	4	 	 	 	 	 	2	4	6	2	3	1	5	 
101	2	1	 	 	 	 	 	2	3	5	2	6	5	1	 
101	2	4	 	 	 	 	 	2	1	10	2	6	6	5	 
101	2	4	 	 	 	 	 	2	1	5	2	7	5	5	 
101	2	9	 	 	 	 	 	2	2	5	2	5	1	1	 
101	2	9	 	 	 	 	 	2	2	5	2	6	1	5	 
101	2	9	 	 	 	 	 	2	3	5	3	8	1	1	 
101	2	9	 	 	 	 	 	2	2	5	2	6	1	4	 
101	2	9	 	 	 	 	 	1	1	14	2	2	1	6	 
101	2	9	 	 	 	 	 	2	2	5	2	8	1	1	 
102	1	2	 	 	 	 	 	2	4	6	1	8	2	2	1
102	1	2	 	 	 	 	 	1	1	4	2	5	2	2	 
102	1	5	1	 	 	 	 	1	1	5	2	4	6	3	 
102	1	5	2	 	 	 	 	2	2	6	2	6	2	2	 
102	1	5	2	 	 	 	 	1	1	6	3	6	2	2	 
102	1	5	2	 	 	 	 	2	2	4	2	5	2	2	 
102	1	2	 	 	 	 	 	2	2	4	3	7	2	2	 
102	1	5	2	 	 	 	 	2	3	4	2	6	5	1	3
102	1	5	2	 	 	 	 	1	1	6	2	6	2	1	1
102	2	4	 	 	 	 	 	2	4	14	2	6	1	1	 
102	2	5	4	 	 	 	 	2	2	14	2	5	1	1	2
102	2	5	4	 	 	 	 	2	3	7	2	6	1	6	 
102	2	5	4	 	 	 	 	2	1	5	2	4	6	6	 
102	2	5	1	 	 	 	 	2	1	5	2	5	1	6	 
102	2	5	1	 	 	 	 	2	6	10	2	3	6	6	 
102	2	4	 	 	 	 	 	2	2	14	3	4	1	6	 
102	2	4	 	 	 	 	 	2	1	10	2	4	1	6	 
102	2	4	 	 	 	 	 	2	2	10	2	6	1	6	 
102	2	4	 	 	 	 	 	2	1	14	2	5	1	6	 
102	2	4	 	 	 	 	 	2	1	14	2	5	1	6	 
102	2	5	4	 	 	 	 	2	1	10	2	6	1	6	 
102	2	4	 	 	 	 	 	2	2	5	2	4	1	1	 
