gakkou	seibetu	q2_1	q2_2	q2_3	q2_4	q2_5	q2_6	q3.1	q3.2	q4.1	q4.3.1	q4.3.2	q6	q7	q8	q9.1.2	q9.2	q10	q11	q12	q13
101	1	2	 	 	 	 	 	1	3	11	2	11	33	1	1000	  2014	1	5650	2	4	 
101	1	2	 	 	 	 	 	1	2	14	2	4	36	10	1000	  2013	1	5300	2	1	 
101	1	5	 	 	 	 	 	1	1	5	2	5	36	1	1000	  2021	1	6700	2	1	 
101	1	1	 	 	 	 	 	2	2	14	2	5	36	1	1000	  2011	1	6000	2	1	 
101	1	5	 	 	 	 	 	2	3	14	2	6	36	1	1000	  2011	1	5800	2	1	1
101	1	1	 	 	 	 	 	1	1	4	2	2	34	1	500	 20103	1	6682	2	1	 
101	1	5	 	 	 	 	 	2	3	5	2	8	34	1	500	  2016	1	6682	2	1	 
101	1	2	 	 	 	 	 	1	1	4	2	7	34	1	500	 20103	1	6682	2	1	 
101	1	2	 	 	 	 	 	2	4	14	2	8	34	1	500	  2015	1	6000	2	1	 
101	1	1	 	 	 	 	 	1	1	14	2	4	34	1	500	  2015	1	6000	2	1	 
101	1	1	 	 	 	 	 	2	4	5	2	7	34	1	500	 20103	1	6000	2	1	 
101	1	5	 	 	 	 	 	1	1	10	2	5	37	1	1000	 20106	1	7300	2	1	 
101	1	2	 	 	 	 	 	2	2	6	2	5	37	1	1000	  2013	1	7300	2	1	 
101	1	2	 	 	 	 	 	2	2	10	2	6	37	1	1000	 20106	1	6000	2	1	 
101	1	2	 	 	 	 	 	2	3	11	2	6	36	1	1000	  2023	9	5800	2	1	1
101	1	5	 	 	 	 	 	2	3	6	2	4	35	1	1000	  2017	1	5500	2	1	 
101	1	5	 	 	 	 	 	1	1	5	2	3	37	1	200	  2015	9	6565	2	1	1
101	1	2	 	 	 	 	 	1	1	5	2	7	37	1	200	 20106	9	6565	2	1	1
101	1	2	 	 	 	 	 	1	1	5	2	4	35	1	500	  2017	1	4280	2	1	 
101	1	5	 	 	 	 	 	2	2	5	2	8	35	1	500	  2017	1	4280	2	1	1
101	1	5	 	 	 	 	 	2	2	5	2	5	35	1	500	  2017	1	4500	2	1	1
101	1	1	 	 	 	 	 	1	1	6	2	5	20	1	1000	  2041	9	5500	2	1	 
101	1	5	 	 	 	 	 	2	2	5	2	6	20	1	1000	  2041	9	5500	2	1	1
101	1	1	 	 	 	 	 	1	1	5	2	5	33	1	500	  1016	9	5700	2	1	 
101	1	5	 	 	 	 	 	2	2	5	2	5	33	1	500	 10106	9	5700	2	1	1
101	1	2	 	 	 	 	 	2	3	5	2	5	33	1	500	 10106	9	5700	2	1	 
101	1	1	 	 	 	 	 	2	3	5	2	6	33	1	500	  1012	9	4900	2	1	 
101	1	5	 	 	 	 	 	1	1	5	2	6	33	1	500	  1012	9	4975	2	1	1
101	1	1	 	 	 	 	 	1	1	14	2	1	37	150	220	  1023	9	5217	2	1	 
101	1	2	 	 	 	 	 	2	1	5	2	7	34	1	9999	  1015	9	4800	2	1	 
101	1	1	 	 	 	 	 	2	4	3	2	12	37	1	1000	  1015	9	5200	2	1	 
101	1	2	 	 	 	 	 	1	3	1	2	5	37	1	1000	 10106	9	5300	2	1	 
101	1	5	 	 	 	 	 	1	1	5	2	4	37	1	100	  1011	9	4625	2	1	1
101	1	1	 	 	 	 	 	1	1	5	2	3	37	1	100	  1017	9	4500	2	1	 
101	1	2	 	 	 	 	 	2	4	11	2	6	37	1	100	  1016	9	4800	2	1	 
101	1	2	 	 	 	 	 	1	1	14	2	5	25	1	40	  1052	9	4573	2	1	 
101	1	2	 	 	 	 	 	1	1	5	2	3	25	1	40	  1051	9	5141	2	1	 
101	1	5	 	 	 	 	 	2	2	5	2	10	37	150	30	  1015	9	5200	2	4	 
101	1	1	 	 	 	 	 	2	2	5	3	4	37	150	30	  1015	9	4840	2	4	 
101	1	2	 	 	 	 	 	1	1	8	1	99	37	150	30	  1015	9	5500	2	4	 
101	1	2	 	 	 	 	 	2	4	14	2	5	37	1	35	  1011	9	5200	2	1	 
101	1	2	 	 	 	 	 	2	2	3	2	6	37	1	35	  1011	9	5000	2	1	 
101	1	5	 	 	 	 	 	2	2	5	2	8	25	1	100	  1052	9	4200	2	1	 
101	1	5	 	 	 	 	 	1	1	5	2	6	25	1	100	  1015	2	4300	2	1	1
101	1	2	 	 	 	 	 	2	4	5	2	6	25	1	100	 10101	2	4200	2	1	 
101	1	1	 	 	 	 	 	2	2	6	2	7	25	1	100	  1015	9	4200	2	1	 
101	1	2	 	 	 	 	 	1	1	5	2	6	34	150	80	  1015	9	5000	2	1	1
101	1	2	 	 	 	 	 	1	1	5	2	5	34	150	80	  1015	9	5000	2	1	 
101	1	2	 	 	 	 	 	2	2	5	2	3	34	150	80	  1015	9	4500	2	1	 
