gakkou	seibetu	q1.1	q1.2	q2	q4	q6	q7
101	1	9	1	10	1	 	2
101	1	9	1	10	1	 	1
101	1	9	4	4	2	1	2
101	1	9	1	5	1	1	2
101	1	9	2	14	1	 	1
101	1	9	4	10	1	1	2
101	1	9	2	10	1	 	1
101	1	9	1	5	2	1	9
101	1	9	1	5	1	 	1
101	1	9	1	5	1	1	2
101	1	9	1	5	2	 	9
101	1	9	1	5	2	 	9
101	1	9	1	6	3	 	9
101	1	9	2	3	2	1	2
101	1	9	1	4	3	1	9
101	1	9	1	5	2	1	9
101	1	9	1	5	2	1	2
101	1	9	1	4	1	1	2
101	1	9	1	6	1	 	1
101	1	9	2	6	1	 	1
101	1	9	3	11	3	1	9
101	1	9	3	10	1	 	2
101	1	9	2	1	1	 	1
101	1	9	1	5	3	1	9
101	1	9	2	10	2	1	2
101	1	9	5	10	1	 	9
101	1	9	3	5	2	 	2
101	1	9	2	5	2	1	9
101	1	9	3	5	2	 	9
101	1	9	1	5	1	 	1
101	1	9	1	5	2	1	9
101	1	9	3	10	2	1	9
101	1	9	1	6	1	 	1
101	1	9	1	10	1	 	9
101	1	9	1	10	2	 	9
101	1	9	4	5	2	 	1
101	1	9	4	1	2	 	9
101	1	9	3	10	1	1	2
101	1	9	2	5	1	1	2
101	1	9	1	5	2	1	9
101	1	9	3	10	2	 	2
101	1	9	2	6	2	1	2
101	1	9	4	3	2	1	2
101	2	9	4	3	1	 	9
101	2	9	1	10	1	 	2
101	2	9	1	10	3	 	9
101	2	9	2	4	1	 	2
101	2	9	3	5	1	 	2
101	2	9	2	10	2	1	9
101	2	9	1	5	2	 	9
101	2	9	1	14	2	1	9
101	2	9	3	3	1	 	9
101	2	9	2	5	3	1	9
101	2	9	1	5	2	 	2
101	2	9	4	10	2	 	9
101	2	9	4	3	2	 	9
101	2	9	2	5	1	 	2
101	2	9	2	10	1	 	2
101	2	9	3	5	1	 	9
101	2	9	5	5	1	 	2
101	2	9	2	10	2	 	2
101	2	9	1	5	2	1	2
101	2	9	3	5	3	1	2
101	2	9	2	6	2	1	9
101	2	9	2	3	1	 	2
101	2	9	1	3	3	1	9
101	2	9	1	5	1	1	9
101	2	9	2	5	1	 	2
101	2	9	3	10	1	 	2
101	2	9	1	10	1	 	2
101	2	9	2	10	2	1	9
101	2	9	4	14	2	1	2
101	2	9	2	10	2	1	9
101	2	9	1	10	1	 	1
101	2	9	1	5	2	 	2
101	2	9	1	10	1	 	9
101	2	9	1	14	2	1	9
101	2	9	2	10	1	 	2
101	2	9	1	5	3	1	9
101	2	9	1	5	1	 	2
101	2	9	3	10	2	 	2
101	2	9	1	10	2	 	9
101	2	9	2	6	1	 	2
101	2	9	1	1	3	1	9
101	2	9	2	10	1	 	2
101	2	9	2	14	2	1	2
101	2	9	1	10	2	 	2
101	2	9	1	14	1	 	2
101	2	9	1	5	2	1	9
101	2	9	1	5	1	 	2
101	2	9	4	3	1	 	2
101	2	9	4	10	2	 	1
101	2	9	4	14	1	 	9
