,chrt,total,chnl_agg_AD,chnl_agg_CONN,chnl_agg_ORS,chnl_agg_SCH,chnl_agg_SE,chnl_agg_UNK,class
0,1927,1,0,0,0,1,0,0,1942
1,1928,1,0,1,0,0,0,0,1943
2,1930,3,0,0,0,1,2,0,1945
3,1931,2,1,0,0,0,1,0,1946
4,1932,15,1,6,0,4,4,0,1947
5,1933,34,2,11,0,1,17,3,1948
6,1934,44,0,21,1,5,16,1,1949
7,1935,49,1,19,2,4,21,2,1950
8,1936,52,4,21,1,10,16,0,1951
9,1937,49,2,20,0,8,16,3,1952
10,1938,39,1,25,0,2,10,1,1953
11,1939,34,2,21,0,3,7,1,1954
12,1940,44,1,20,1,11,11,0,1955
13,1941,54,2,23,2,12,13,2,1956
14,1942,40,1,22,0,10,7,0,1957
15,1943,32,1,12,0,13,6,0,1958
16,1944,31,1,15,0,10,5,0,1959
17,1945,29,3,11,1,9,4,1,1960
18,1946,24,0,9,1,10,3,1,1961
19,1947,22,2,7,0,11,1,1,1962
20,1948,32,1,15,0,11,4,1,1963
21,1949,27,0,5,1,19,0,2,1964
22,1950,23,0,8,1,9,5,0,1965
23,1951,17,1,5,0,9,2,0,1966
24,1952,22,0,10,0,10,2,0,1967
25,1953,10,0,5,1,2,2,0,1968
26,1954,11,0,5,1,3,2,0,1969
27,1955,6,0,1,0,5,0,0,1970
28,1956,8,0,4,0,2,1,1,1971
