,id,curr_liv_pref,age,mv,compul_edu_pref,compul_edu_ctype,num_sib,b_ord,num_sib_male,b_ord_male,curr_emp_pos,curr_pref,curr_ctype,curr_ind,curr_ind_maj,curr_ind_min,curr_pos,curr_f_sz,curr_chnl,curr_s_age,curr_e_age,tot_num_trans_btw_frms,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,init_frm_id,init_est_id,init_emp_pos,init_pref,init_ctype,init_ind,init_ind_maj,init_ind_min,init_pos,init_f_sz,init_chnl,init_s_age,init_e_age,init_chng_rsn,1st_frm_id,1st_est_id,1st_emp_pos,1st_pref,1st_ctype,1st_ind,1st_ind_maj,1st_ind_min,1st_pos,1st_f_sz,1st_chnl,1st_s_age,1st_e_age,1st_chng_rsn,2nd_frm_id,2nd_est_id,2nd_emp_pos,2nd_pref,2nd_ctype,2nd_ind,2nd_ind_maj,2nd_ind_min,2nd_pos,2nd_f_sz,2nd_chnl,2nd_s_age,2nd_e_age,2nd_chng_rsn,3rd_frm_id,3rd_est_id,3rd_emp_pos,3rd_pref,3rd_ctype,3rd_ind,3rd_ind_maj,3rd_ind_min,3rd_pos,3rd_f_sz,3rd_chnl,3rd_s_age,3rd_e_age,3rd_chng_rsn,4th_frm_id,4th_est_id,4th_emp_pos,4th_pref,4th_ctype,4th_ind,4th_ind_maj,4th_ind_min,4th_pos,4th_f_sz,4th_chnl,4th_s_age,4th_e_age,4th_chng_rsn,5th_frm_id,5th_est_id,5th_emp_pos,5th_pref,5th_ctype,5th_ind,5th_ind_maj,5th_ind_min,5th_pos,5th_f_sz,5th_chnl,5th_s_age,5th_e_age,5th_chng_rsn,6th_frm_id,6th_est_id,6th_emp_pos,6th_pref,6th_ctype,6th_ind,6th_ind_maj,6th_ind_min,6th_pos,6th_f_sz,6th_chnl,6th_s_age,6th_e_age,6th_chng_rsn,7th_frm_id,7th_est_id,7th_emp_pos,7th_pref,7th_ctype,7th_ind,7th_ind_maj,7th_ind_min,7th_pos,7th_f_sz,7th_chnl,7th_s_age,7th_e_age,7th_chng_rsn,8th_frm_id,8th_est_id,8th_emp_pos,8th_pref,8th_ctype,8th_ind,8th_ind_maj,8th_ind_min,8th_pos,8th_f_sz,8th_chnl,8th_s_age,8th_e_age,8th_chng_rsn,9th_frm_id,9th_est_id,9th_emp_pos,9th_pref,9th_ctype,9th_ind,9th_ind_maj,9th_ind_min,9th_pos,9th_f_sz,9th_chnl,9th_s_age,9th_e_age,9th_chng_rsn,10th_frm_id,10th_est_id,10th_emp_pos,10th_pref,10th_ctype,10th_ind,10th_ind_maj,10th_ind_min,10th_pos,10th_f_sz,10th_chnl,10th_s_age,10th_e_age,10th_chng_rsn,11th_frm_id,11th_est_id,11th_emp_pos,11th_pref,11th_ctype,11th_ind,11th_ind_maj,11th_ind_min,11th_pos,11th_f_sz,11th_chnl,11th_s_age,11th_e_age,11th_chng_rsn,12th_frm_id,12th_est_id,12th_emp_pos,12th_pref,12th_ctype,12th_ind,12th_ind_maj,12th_ind_min,12th_pos,12th_f_sz,12th_chnl,12th_s_age,12th_e_age,12th_chng_rsn,13th_frm_id,13th_est_id,13th_emp_pos,13th_pref,13th_ctype,13th_ind,13th_ind_maj,13th_ind_min,13th_pos,13th_f_sz,13th_chnl,13th_s_age,13th_e_age,13th_chng_rsn,14th_frm_id,14th_est_id,14th_emp_pos,14th_pref,14th_ctype,14th_ind,14th_ind_maj,14th_ind_min,14th_pos,14th_f_sz,14th_chnl,14th_s_age,14th_e_age,14th_chng_rsn,15th_frm_id,15th_est_id,15th_emp_pos,15th_pref,15th_ctype,15th_ind,15th_ind_maj,15th_ind_min,15th_pos,15th_f_sz,15th_chnl,15th_s_age,15th_e_age,15th_chng_rsn,16th_frm_id,16th_est_id,16th_emp_pos,16th_pref,16th_ctype,16th_ind,16th_ind_maj,16th_ind_min,16th_pos,16th_f_sz,16th_chnl,16th_s_age,16th_e_age,16th_chng_rsn,17th_frm_id,17th_est_id,17th_emp_pos,17th_pref,17th_ctype,17th_ind,17th_ind_maj,17th_ind_min,17th_pos,17th_f_sz,17th_chnl,17th_s_age,17th_e_age,17th_chng_rsn,inst_1,inst_2,inst_3,sts,sts_mfg,sts_ag,sts_med,sts_hlth,sts_educ,sts_com,sts_he,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,init_j_edu_deg,init_j_edu_hs_maj,init_j_edu_clg_maj,init_j_edu_pref,init_j_edu_est,init_j_edu_crs,init_j_edu_grad,init_j_edu_s_age,init_j_edu_e_age,q27,fin_edu_deg,fin_edu_hs_maj,fin_edu_clg_maj,fin_edu_pref,fin_edu_est,fin_edu_crs,fin_edu_grad,fin_edu_s_age,fin_edu_e_age,marr,marr_age,1st_cld_born_age,q29_3,q29_4,wife,wife_emp_pos,wife_ind,wife_ind_maj,wife_ind_min,wife_pos,wife_f_sz,wife_fin_edu,inc_hh,q32_1,inc_ind,q33_1,chrt,curr_liv_rgn,compul_edu_rgn,curr_rgn,init_rgn,1st_rgn,2nd_rgn,3rd_rgn,4th_rgn,5th_rgn,6th_rgn,7th_rgn,8th_rgn,9th_rgn,10th_rgn,11th_rgn,12th_rgn,13th_rgn,14th_rgn,15th_rgn,16th_rgn,17th_rgn,init_j_edu_rgn,fin_edu_rgn,curr_ind_cl,init_ind_cl,1st_ind_cl,2nd_ind_cl,3rd_ind_cl,4th_ind_cl,5th_ind_cl,6th_ind_cl,7th_ind_cl,8th_ind_cl,9th_ind_cl,10th_ind_cl,11th_ind_cl,12th_ind_cl,13th_ind_cl,14th_ind_cl,15th_ind_cl,16th_ind_cl,17th_ind_cl,wife_ind_cl,inc_ind_cl
0,1,10,53,1,10,4,4,3,3,3,1,10,3,44,4,63,8,1,7,17,53,1,2,2,3,3,3,3,3,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,35,8,131,1,7,3,14,17,14,1,0,1,10,3,44,4,63,8,1,7,17,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,3,3,3,3,3,3,3,3,1,1,2,8,98,98,98,2,8,8,10,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,25,27,49,51,1,5,44,4,66,8,1,2,99,998,99,998,1928,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,HI,COM,,,,,,,,,,,,,,,,,COM,UNK
1,2,10,61,1,10,4,4,3,3,3,1,10,3,47,4,63,8,2,7,23,61,1,1,1,1,1,1,3,2,5,1,1,0,0,0,0,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,10,4,47,4,66,1,3,1,18,23,14,1,0,1,10,3,47,4,63,8,2,7,23,61,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,3,3,1,3,3,3,3,1,1,1,1,8,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,28,29,99,55,1,7,13,97,997,8,98,2,99,998,99,998,1920,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,COM,,,,,,,,,,,,,,,,,ST,UNK
2,3,10,49,1,10,4,6,3,1,1,2,10,3,61,2,50,6,8,8,46,49,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,30,2,98,8,8,98,98,1,2,2,2,1,8,0,0,2,10,3,60,3,54,1,8,3,18,35,1,0,1,2,10,3,60,3,54,1,8,8,35,43,1,0,2,2,10,3,60,3,54,1,8,8,43,46,1,0,3,2,10,3,61,2,50,6,8,8,46,49,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,2,2,2,1,3,2,2,3,3,2,2,2,98,98,98,8,1,8,10,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,27,80,98,98,1,7,13,97,997,8,98,7,99,998,99,998,1932,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,COM,COM,COM,,,,,,,,,,,,,,,ST,UNK
3,4,10,69,1,10,4,9,6,6,6,3,10,3,15,8,219,1,3,1,55,69,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,14,2,98,8,8,98,98,1,2,2,2,1,1,0,0,2,10,3,60,8,219,1,7,1,25,55,5,1,0,3,10,3,15,8,219,1,3,1,55,69,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,9,3,3,3,3,2,2,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,25,26,55,61,1,7,13,97,997,8,98,1,99,998,99,998,1912,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,COM,SRV,,,,,,,,,,,,,,,,,ST,UNK
4,5,10,45,1,10,4,4,1,3,1,1,10,3,48,4,63,8,2,7,22,45,1,2,3,1,1,1,1,1,1,1,3,0,0,0,1,1,1,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,48,4,66,1,3,1,16,22,7,1,0,1,10,3,48,4,63,8,2,7,22,45,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,2,6,1,6,4,9,9,9,9,9,9,2,9,1,1,2,8,98,98,98,7,8,8,10,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,24,25,80,98,1,5,48,4,66,8,2,6,99,998,99,998,1936,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,COM,,,,,,,,,,,,,,,,,COM,UNK
5,6,10,67,2,10,4,7,3,3,3,2,10,3,49,4,66,6,3,2,27,67,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,40,2,98,8,8,98,98,1,2,2,2,1,8,0,0,2,10,3,49,4,66,6,3,2,27,67,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,5,3,2,2,2,2,2,2,2,2,1,2,1,2,98,98,98,2,8,8,12,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,30,32,55,80,1,7,13,97,997,8,98,2,99,998,99,998,1914,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,,,,,,,,,,,,,,,,,,ST,UNK
6,7,10,54,2,10,4,3,2,2,1,2,10,3,15,8,123,1,6,1,41,54,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,13,2,98,8,8,98,98,1,1,1,2,1,2,0,0,1,10,3,40,2,48,8,6,1,29,41,6,1,0,2,10,3,15,8,123,1,6,1,41,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8,8,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,1,3,2,1,2,2,2,3,1,2,1,2,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,29,31,80,98,1,4,77,4,70,1,99,2,99,998,99,998,1927,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,COM,SRV,,,,,,,,,,,,,,,,,SRV,UNK
7,8,10,55,1,10,4,3,2,3,2,2,10,3,91,1,28,1,9,8,50,55,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,37,2,98,8,8,98,98,2,1,1,2,2,8,0,0,2,10,3,91,1,28,1,9,3,19,24,1,0,1,2,10,3,91,1,28,1,9,8,24,29,1,0,2,2,10,3,91,1,28,1,9,8,29,32,1,0,3,2,10,3,91,1,28,1,9,8,32,38,1,0,4,2,10,3,91,1,28,1,9,8,38,44,1,0,5,2,10,3,91,1,28,1,9,8,44,50,1,0,6,2,10,3,91,1,28,1,9,8,50,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,1,3,1,1,1,1,2,1,1,3,2,3,1,2,98,98,98,5,8,8,10,2,1,1,17,19,2,98,8,8,98,8,8,8,98,98,1,30,32,80,98,1,7,13,97,997,8,98,3,12,998,12,998,1926,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,SRV,SRV,SRV,SRV,SRV,SRV,SRV,,,,,,,,,,,,ST,UE
8,9,10,56,2,16,4,4,3,4,3,1,10,3,45,4,67,8,1,7,20,56,1,1,1,1,1,2,9,9,7,2,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,3,30,1,18,8,210,1,7,1,18,19,4,98,98,6,98,8,14,96,996,8,98,98,19,20,98,1,0,1,10,3,45,4,67,8,1,7,20,56,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,1,3,3,3,3,3,3,1,2,3,2,8,98,98,98,2,8,8,16,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,24,25,46,52,1,7,13,97,997,8,98,2,2,998,2,998,1925,KT,HR,KT,KS,,,,,,,,,,,,,,,,,,HR,UNK,COM,LI,MIL,COM,,,,,,,,,,,,,,,,ST,
9,10,10,65,2,11,4,4,2,2,2,7,98,8,12,98,998,8,98,98,65,65,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,13,2,97,3,54,1,9,5,19,25,1,0,1,2,2,2,97,3,54,2,9,8,25,40,1,0,2,2,7,2,97,3,54,3,9,8,40,55,1,0,3,2,11,2,97,2,47,4,9,8,55,65,5,98,98,7,98,8,12,98,998,8,98,98,65,65,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,1,0,0,0,0,0,0,1,3,7,1,30,1,2,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,1,9,9,1,9,3,1,3,3,3,3,3,3,1,8,98,98,98,4,8,8,11,2,1,1,13,18,2,98,8,8,98,8,8,8,98,98,1,29,31,56,60,1,7,13,97,997,8,98,3,99,998,99,998,1916,KT,KT,UNK,KT,,,,,,,,,,,,,,,,,,KT,UNK,UE,SRV,SRV,SRV,SRV,UE,,,,,,,,,,,,,,ST,UNK
