,sampleno,kyojuuchi,q1,q2,q3,q3_toshiruikei,q4_1,q4_2,q5_1,q5_2,q6_1,q6_3,q6_3_toshiruikei,q6_4,q6_5_dai,q6_5_shou,q6_6,q6_7,q6a,q6b,q6c,q6d,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q15_kigyou,q15_jigyousho,q15_1,q15_3,q15_3_toshiruikei,q15_4,q15_5_dai,q15_5_shou,q15_6,q15_7,q15_8,q15_9_1,q15_9_2,q15_10,q16_1_kigyou,q16_1_jigyousho,q16_1_1,q16_1_3,q16_1_3_toshiruikei,q16_1_4,q16_1_5_dai,q16_1_5_shou,q16_1_6,q16_1_7,q16_1_8,q16_1_9_1,q16_1_9_2,q16_1_10,q16_2_kigyou,q16_2_jigyousho,q16_2_1,q16_2_3,q16_2_3_toshiruikei,q16_2_4,q16_2_5_dai,q16_2_5_shou,q16_2_6,q16_2_7,q16_2_8,q16_2_9_1,q16_2_9_2,q16_2_10,q16_3_kigyou,q16_3_jigyousho,q16_3_1,q16_3_3,q16_3_3_toshiruikei,q16_3_4,q16_3_5_dai,q16_3_5_shou,q16_3_6,q16_3_7,q16_3_8,q16_3_9_1,q16_3_9_2,q16_3_10,q16_4_kigyou,q16_4_jigyousho,q16_4_1,q16_4_3,q16_4_3_toshiruikei,q16_4_4,q16_4_5_dai,q16_4_5_shou,q16_4_6,q16_4_7,q16_4_8,q16_4_9_1,q16_4_9_2,q16_4_10,q16_5_kigyou,q16_5_jigyousho,q16_5_1,q16_5_3,q16_5_3_toshiruikei,q16_5_4,q16_5_5_dai,q16_5_5_shou,q16_5_6,q16_5_7,q16_5_8,q16_5_9_1,q16_5_9_2,q16_5_10,q16_6_kigyou,q16_6_jigyousho,q16_6_1,q16_6_3,q16_6_3_toshiruikei,q16_6_4,q16_6_5_dai,q16_6_5_shou,q16_6_6,q16_6_7,q16_6_8,q16_6_9_1,q16_6_9_2,q16_6_10,q16_7_kigyou,q16_7_jigyousho,q16_7_1,q16_7_3,q16_7_3_toshiruikei,q16_7_4,q16_7_5_dai,q16_7_5_shou,q16_7_6,q16_7_7,q16_7_8,q16_7_9_1,q16_7_9_2,q16_7_10,q16_8_kigyou,q16_8_jigyousho,q16_8_1,q16_8_3,q16_8_3_toshiruikei,q16_8_4,q16_8_5_dai,q16_8_5_shou,q16_8_6,q16_8_7,q16_8_8,q16_8_9_1,q16_8_9_2,q16_8_10,q16_9_kigyou,q16_9_jigyousho,q16_9_1,q16_9_3,q16_9_3_toshiruikei,q16_9_4,q16_9_5_dai,q16_9_5_shou,q16_9_6,q16_9_7,q16_9_8,q16_9_9_1,q16_9_9_2,q16_9_10,q16_10_kigyou,q16_10_jigyousho,q16_10_1,q16_10_3,q16_10_3_toshiruikei,q16_10_4,q16_10_5_dai,q16_10_5_shou,q16_10_6,q16_10_7,q16_10_8,q16_10_9_1,q16_10_9_2,q16_10_10,q16_11_kigyou,q16_11_jigyousho,q16_11_1,q16_11_3,q16_11_3_toshiruikei,q16_11_4,q16_11_5_dai,q16_11_5_shou,q16_11_6,q16_11_7,q16_11_8,q16_11_9_1,q16_11_9_2,q16_11_10,q16_12_kigyou,q16_12_jigyousho,q16_12_1,q16_12_3,q16_12_3_toshiruikei,q16_12_4,q16_12_5_dai,q16_12_5_shou,q16_12_6,q16_12_7,q16_12_8,q16_12_9_1,q16_12_9_2,q16_12_10,q16_13_kigyou,q16_13_jigyousho,q16_13_1,q16_13_3,q16_13_3_toshiruikei,q16_13_4,q16_13_5_dai,q16_13_5_shou,q16_13_6,q16_13_7,q16_13_8,q16_13_9_1,q16_13_9_2,q16_13_10,q16_14_kigyou,q16_14_jigyousho,q16_14_1,q16_14_3,q16_14_3_toshiruikei,q16_14_4,q16_14_5_dai,q16_14_5_shou,q16_14_6,q16_14_7,q16_14_8,q16_14_9_1,q16_14_9_2,q16_14_10,q16_15_kigyou,q16_15_jigyousho,q16_15_1,q16_15_3,q16_15_3_toshiruikei,q16_15_4,q16_15_5_dai,q16_15_5_shou,q16_15_6,q16_15_7,q16_15_8,q16_15_9_1,q16_15_9_2,q16_15_10,q16_16_kigyou,q16_16_jigyousho,q16_16_1,q16_16_3,q16_16_3_toshiruikei,q16_16_4,q16_16_5_dai,q16_16_5_shou,q16_16_6,q16_16_7,q16_16_8,q16_16_9_1,q16_16_9_2,q16_16_10,q16_17_kigyou,q16_17_jigyousho,q16_17_1,q16_17_3,q16_17_3_toshiruikei,q16_17_4,q16_17_5_dai,q16_17_5_shou,q16_17_6,q16_17_7,q16_17_8,q16_17_9_1,q16_17_9_2,q16_17_10,q17_1,q17_2,q17_3,q18,q18sq1_1,q18sq1_2,q18sq1_3,q18sq1_4,q18sq1_5,q18sq1_6,q18sq1_7,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,q26_1,q26_1sq1,q26_1sq2,q26_2,q26_3,q26_4,q26_5,q26_6_1,q26_6_2,q27,q28_1,q28_1sq1,q28_1sq2,q28_2,q28_3,q28_4,q28_5,q28_6_1,q28_6_2,q29,q29_1,q29_2,q29_3,q29_4,q30,q30_1_1,q30_1_3,q30_1_4_dai,q30_1_4_shou,q30_1_5,q30_1_6,q31,q32,q32_1,q33,q33_1
0,1,10,53,1,10,4,4,3,3,3,1,10,3,44,4,63,8,1,7,17,53,1,2,2,3,3,3,3,3,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,35,8,131,1,7,3,14,17,14,1,0,1,10,3,44,4,63,8,1,7,17,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,3,3,3,3,3,3,3,3,1,1,2,8,98,98,98,2,8,8,10,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,25,27,49,51,1,5,44,4,66,8,1,2,99,998,99,998
1,2,10,61,1,10,4,4,3,3,3,1,10,3,47,4,63,8,2,7,23,61,1,1,1,1,1,1,3,2,5,1,1,0,0,0,0,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,10,4,47,4,66,1,3,1,18,23,14,1,0,1,10,3,47,4,63,8,2,7,23,61,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,3,3,1,3,3,3,3,1,1,1,1,8,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,28,29,99,55,1,7,13,97,997,8,98,2,99,998,99,998
2,3,10,49,1,10,4,6,3,1,1,2,10,3,61,2,50,6,8,8,46,49,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,30,2,98,8,8,98,98,1,2,2,2,1,8,0,0,2,10,3,60,3,54,1,8,3,18,35,1,0,1,2,10,3,60,3,54,1,8,8,35,43,1,0,2,2,10,3,60,3,54,1,8,8,43,46,1,0,3,2,10,3,61,2,50,6,8,8,46,49,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,2,2,2,1,3,2,2,3,3,2,2,2,98,98,98,8,1,8,10,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,27,80,98,98,1,7,13,97,997,8,98,7,99,998,99,998
3,4,10,69,1,10,4,9,6,6,6,3,10,3,15,8,219,1,3,1,55,69,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,14,2,98,8,8,98,98,1,2,2,2,1,1,0,0,2,10,3,60,8,219,1,7,1,25,55,5,1,0,3,10,3,15,8,219,1,3,1,55,69,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,9,3,3,3,3,2,2,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,25,26,55,61,1,7,13,97,997,8,98,1,99,998,99,998
4,5,10,45,1,10,4,4,1,3,1,1,10,3,48,4,63,8,2,7,22,45,1,2,3,1,1,1,1,1,1,1,3,0,0,0,1,1,1,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,48,4,66,1,3,1,16,22,7,1,0,1,10,3,48,4,63,8,2,7,22,45,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,2,6,1,6,4,9,9,9,9,9,9,2,9,1,1,2,8,98,98,98,7,8,8,10,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,24,25,80,98,1,5,48,4,66,8,2,6,99,998,99,998
5,6,10,67,2,10,4,7,3,3,3,2,10,3,49,4,66,6,3,2,27,67,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,40,2,98,8,8,98,98,1,2,2,2,1,8,0,0,2,10,3,49,4,66,6,3,2,27,67,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,5,3,2,2,2,2,2,2,2,2,1,2,1,2,98,98,98,2,8,8,12,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,30,32,55,80,1,7,13,97,997,8,98,2,99,998,99,998
6,7,10,54,2,10,4,3,2,2,1,2,10,3,15,8,123,1,6,1,41,54,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,13,2,98,8,8,98,98,1,1,1,2,1,2,0,0,1,10,3,40,2,48,8,6,1,29,41,6,1,0,2,10,3,15,8,123,1,6,1,41,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8,8,1,9,9,9,9,9,9,9,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,1,3,2,1,2,2,2,3,1,2,1,2,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,29,31,80,98,1,4,77,4,70,1,99,2,99,998,99,998
7,8,10,55,1,10,4,3,2,3,2,2,10,3,91,1,28,1,9,8,50,55,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,37,2,98,8,8,98,98,2,1,1,2,2,8,0,0,2,10,3,91,1,28,1,9,3,19,24,1,0,1,2,10,3,91,1,28,1,9,8,24,29,1,0,2,2,10,3,91,1,28,1,9,8,29,32,1,0,3,2,10,3,91,1,28,1,9,8,32,38,1,0,4,2,10,3,91,1,28,1,9,8,38,44,1,0,5,2,10,3,91,1,28,1,9,8,44,50,1,0,6,2,10,3,91,1,28,1,9,8,50,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,1,3,1,1,1,1,2,1,1,3,2,3,1,2,98,98,98,5,8,8,10,2,1,1,17,19,2,98,8,8,98,8,8,8,98,98,1,30,32,80,98,1,7,13,97,997,8,98,3,12,998,12,998
8,9,10,56,2,16,4,4,3,4,3,1,10,3,45,4,67,8,1,7,20,56,1,1,1,1,1,2,9,9,7,2,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,3,30,1,18,8,210,1,7,1,18,19,4,98,98,6,98,8,14,96,996,8,98,98,19,20,98,1,0,1,10,3,45,4,67,8,1,7,20,56,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,1,3,3,3,3,3,3,1,2,3,2,8,98,98,98,2,8,8,16,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,24,25,46,52,1,7,13,97,997,8,98,2,2,998,2,998
9,10,10,65,2,11,4,4,2,2,2,7,98,8,12,98,998,8,98,98,65,65,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,13,2,97,3,54,1,9,5,19,25,1,0,1,2,2,2,97,3,54,2,9,8,25,40,1,0,2,2,7,2,97,3,54,3,9,8,40,55,1,0,3,2,11,2,97,2,47,4,9,8,55,65,5,98,98,7,98,8,12,98,998,8,98,98,65,65,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,1,0,0,0,0,0,0,1,3,7,1,30,1,2,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,1,9,9,1,9,3,1,3,3,3,3,3,3,1,8,98,98,98,4,8,8,11,2,1,1,13,18,2,98,8,8,98,8,8,8,98,98,1,29,31,56,60,1,7,13,97,997,8,98,3,99,998,99,998
