,id,curr_liv_pref,age,mv,compul_edu_urban,compul_edu_ctype,compul_edu_pref,q3,q4_1,q4_2,q5,curr_job,curr_job_yrs,q9_1,q9_2,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q11,q12,q13,q14,q14sq1,q14sq2,q14sq3,q14sq4,q15,q16,q16sq1_1,q16sq1_2,q16sq2,q16sq3,q16sq4,q17,q17sq1_1,q17sq1_2,q17sq1_3,q17sq1_4,q17sq1_5,q17sq1_6,q17sq1_7,q17sq1_8,q17sq2_1,q17sq2_2,q17sq2_3,q17sq2_4,q17sq2_5,q17sq2_6,q17sq2_7,q17sq2_8,q17sq2_9,q18,q19,fin_edu_deg,fin_edu_hs_maj,fin_edu_clg_maj,fin_edu_pref,fin_edu_course,fin_edu_grad,fin_edu_e_age,voc,q23sq1_1,q23sq1_2,q23sq1_3,q23sq1_4,q23sq1_5,q23sq1_6,q23sq1_7,q23sq1_8,q23sq2,q23sq3,marr,marr_age,sep_age,remarr_age,num_kids,birth_age_1st,birth_age_last,q28_4,q28_5,q29_1,q29_2,q29_3,q29_4,q29_5,q30_1,q30_2,q30_3,q30_4,q31_1,q31_2,q31_3,q31_4,q31_5,q32,q32sq,q33a,q33b,q33c,q33d,q33e,q34,q34sq,q35_1,q35_2,q35_3,q36,hus_fin_edu,hus_marr_emp_pos,q38_1_3,hus_marr_ind_maj,hus_marr_ind_min,hus_marr_pos,hus_marr_f_size,hus_curr_emp_pos,q38_2_3,hus_curr_ind_maj,hus_curr_ind_min,hus_curr_pos,hus_curr_f_size,farther_edu,mother_edu,fam_size,q41sq_1,q41sq_2,q41sq_3,q41sq_4,q41sq_5,q41sq_6,inc_hh,inc_hh_100k,inc_ind_y_n,inc_ind,inc_ind_100k,inc_hus_100k,q44_1,curr_card_no,curr_frm_id,curr_emp_pos,curr_ind,curr_ind_maj,curr_ind_min,curr_work_hour,curr_work_day,curr_pos,curr_f_sz,curr_cmmt_time,curr_chnl,curr_s_age,curr_e_age,last_card_no,last_frm_id,last_emp_pos,last_ind,last_ind_maj,last_ind_min,last_work_hour,last_work_day,last_pos,last_f_sz,last_cmmt_time,last_chnl,last_s_age,last_e_age,saishu_11,init_firm_id,init_emp_pos,init_ind,init_ind_maj,init_ind_min,init_work_hour,init_work_day,init_pos,init_f_sz,init_cmmt_time,init_chnl,init_s_age,init_e_age,init_chng_rsn,1st_firm_id,1st_emp_pos,1st_ind,1st_ind_maj,1st_ind_min,1st_work_hour,1st_work_day,1st_pos,1st_f_sz,1st_cmmt_time,1st_chnl,1st_s_age,1st_e_age,1st_chng_rsn,2nd_firm_id,2nd_emp_pos,2nd_ind,2nd_ind_maj,2nd_ind_min,2nd_work_hour,2nd_work_day,2nd_pos,2nd_f_sz,2nd_cmmt_time,2nd_chnl,2nd_s_age,2nd_e_age,2nd_chng_rsn,3rd_firm_id,3rd_emp_pos,3rd_ind,3rd_ind_maj,3rd_ind_min,3rd_work_hour,3rd_work_day,3rd_pos,3rd_f_sz,3rd_cmmt_time,3rd_chnl,3rd_s_age,3rd_e_age,3rd_chng_rsn,4th_firm_id,4th_emp_pos,4th_ind,4th_ind_maj,4th_ind_min,4th_work_hour,4th_work_day,4th_pos,4th_f_sz,4th_cmmt_time,4th_chnl,4th_s_age,4th_e_age,4th_chng_rsn,5th_firm_id,5th_emp_pos,5th_ind,5th_ind_maj,5th_ind_min,5th_work_hour,5th_work_day,5th_pos,5th_f_sz,5th_cmmt_time,5th_chnl,5th_s_age,5th_e_age,5th_chng_rsn,6th_firm_id,6th_emp_pos,6th_ind,6th_ind_maj,6th_ind_min,6th_work_hour,6th_work_day,6th_pos,6th_f_sz,6th_cmmt_time,6th_chnl,6th_s_age,6th_e_age,6th_chng_rsn,7th_firm_id,7th_emp_pos,7th_ind,7th_ind_maj,7th_ind_min,7th_work_hour,7th_work_day,7th_pos,7th_f_sz,7th_cmmt_time,7th_chnl,7th_s_age,7th_e_age,7th_chng_rsn,8th_firm_id,8th_emp_pos,8th_ind,8th_ind_maj,8th_ind_min,8th_work_hour,8th_work_day,8th_pos,8th_f_sz,8th_cmmt_time,8th_chnl,8th_s_age,8th_e_age,8th_chng_rsn,9th_firm_id,9th_emp_pos,9th_ind,9th_ind_maj,9th_ind_min,9th_work_hour,9th_work_day,9th_pos,9th_f_sz,9th_cmmt_time,9th_chnl,9th_s_age,9th_e_age,9th_chng_rsn,10th_firm_id,10th_emp_pos,10th_ind,10th_ind_maj,10th_ind_min,10th_work_hour,10th_work_day,10th_pos,10th_f_sz,10th_cmmt_time,10th_chnl,10th_s_age,10th_e_age,10th_chng_rsn,lifestage_1,lifestage_2,lifestage_3,lifestage_4_1,lifestage_4_2,lifestage_5,chrt
0,1,10,61,1,2,8,10,3,4,63,2,1,35,8,9,1,1,4,9,1,1,1,9,3,2,1,1,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,2,8,98,10,1,1,14,2,8,8,8,8,8,8,8,8,8,8,2,26,98,98,3,28,33,51,57,1,3,3,3,3,4,4,4,4,4,4,4,4,4,0,8,5,5,5,5,5,6,8,1,2,3,3,2,2,49,4,66,1,2,4,49,8,257,8,1,4,2,7,1,1,0,0,0,1,99,0,1,2,0,99,0,7,3,4,49,10,268,3,7,8,1,1,8,31,61, , , , , , , , , , , , , , , ,1,2,49,4,66,13,7,9,3,1,2,19,22,14,2,4,1,5,75,8,7,8,1,9,7,22,26,4,3,4,49,4,66,8,7,8,1,1,7,26,31,1,3,4,49,10,268,3,7,8,1,1,8,31,61,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,0,98,1922
1,2,10,41,1,2,8,10,6,10,268,1,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,6,8,98,10,1,1,15,2,8,8,8,8,8,8,8,8,8,8,2,24,98,98,3,25,31,80,80,4,4,9,4,2,5,5,5,5,5,5,5,5,5,0,8,4,4,4,4,4,2,8,1,1,4,3,7,2,62,7,99,1,8,2,62,7,99,1,7,99,99,5,1,1,0,0,0,0,8,0,2,98,0,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,7,0,98,1942
2,3,10,25,2,2,8,3,8,3,293,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,2,4,1,1,5,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,8,8,5,12,1,2,19,1,0,0,0,0,0,1,0,0,1,3,2,20,98,98,1,21,21,80,80,2,4,4,3,4,4,4,4,4,3,4,4,4,4,1,1,8,8,8,8,8,3,8,2,3,1,3,8,2,99,99,999,1,99,2,99,99,999,1,9,99,99,3,1,1,0,0,0,0,99,0,2,98,0,99,0, , , , , , , , , , , , , , ,4,1,2,99,3,54,8,6,1,5,2,4,20,23,6,1,2,99,3,54,8,6,1,5,2,4,20,23,6,98,6,12,97,997,98,8,8,98,8,98,23,25,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,7,0,98,1958
3,4,10,32,2,2,8,10,9,1,8,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,7,1,98,10,1,1,18,1,0,0,0,0,0,1,0,0,2,8,2,27,98,98,2,28,30,80,80,1,4,4,3,4,3,1,4,4,5,5,5,5,5,2,1,8,8,8,8,8,3,8,3,1,2,3,8,2,15,8,228,2,4,2,15,8,228,2,4,1,1,4,1,1,0,0,0,0,6,0,2,98,0,6,0, , , , , , , , , , , , , , ,6,2,2,15,1,13,8,6,1,8,7,4,22,27,4,1,2,84,3,54,8,6,1,2,7,3,18,20,9,98,6,12,97,997,98,8,8,98,8,98,20,22,98,2,2,15,1,13,8,6,1,8,7,4,22,27,4,98,6,12,97,997,98,8,8,98,8,98,27,32,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,8,8,98,1951
4,5,10,36,2,2,8,7,7,10,270,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,9,2,9,2,7,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,7,1,98,7,1,1,18,1,0,0,0,1,0,0,0,0,2,8,2,25,98,98,2,25,27,80,80,1,4,4,4,4,9,9,9,9,5,5,5,5,5,0,8,4,4,4,4,1,5,4,1,2,3,3,4,2,35,3,54,1,8,2,35,3,54,3,8,99,99,4,1,1,0,0,0,0,11,0,2,98,0,11,0, , , , , , , , , , , , , , ,6,2,5,12,8,135,8,7,8,1,8,7,34,35,14,1,2,77,10,270,12,6,1,3,1,1,19,24,4,98,6,12,97,997,98,8,8,98,8,98,24,34,98,2,5,12,8,135,8,7,8,1,8,7,34,35,14,98,6,12,97,997,98,8,8,98,8,98,35,36,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,4,0,98,1947
5,6,10,34,2,2,8,10,99,1,42,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,2,4,2,3,7,1,0,0,0,0,0,1,0,0,2,3,1,1,1,4,4,4,4,98,2,8,8,6,10,1,1,20,1,0,0,0,0,0,0,1,0,2,8,2,24,98,98,2,25,28,80,80,3,1,4,4,3,5,5,5,5,5,5,5,5,5,1,1,8,8,8,8,8,5,7,2,1,1,3,10,2,91,3,54,3,8,2,91,2,50,6,99,6,5,4,1,1,0,0,0,0,9,0,2,98,0,9,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,7,0,98,1949
6,7,10,36,2,1,2,19,7,99,999,2,1,9,8,6,3,3,3,4,3,3,3,9,2,3,3,7,3,98,8,8,98,3,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,7,1,98,19,1,1,18,1,0,0,0,0,0,0,1,1,1,3,2,22,98,98,2,25,27,80,80,1,4,1,3,4,9,9,9,9,5,5,5,5,5,1,1,8,8,8,8,8,1,8,2,3,2,3,10,2,99,4,66,1,5,1,48,8,228,8,1,2,1,4,1,1,0,0,0,0,99,0,1,2,0,99,0,6,2,4,48,3,54,6,6,8,1,1,7,27,36, , , , , , , , , , , , , , , ,1,2,44,4,66,8,6,1,6,4,3,18,22,4,98,6,12,97,997,98,8,8,98,8,98,22,27,98,2,4,48,3,54,6,6,8,1,1,7,27,36,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,4,0,98,1947
7,8,11,30,2,2,8,1,8,1,42,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,8,1,1,1,7,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,8,8,5,1,1,1,20,1,0,0,0,0,1,0,0,1,1,2,2,23,98,98,2,27,30,80,80,1,4,4,4,4,4,4,4,4,2,4,4,4,4,2,1,8,8,8,8,8,5,1,1,1,1,3,10,2,40,3,54,1,99,1,40,2,50,8,99,5,3,4,1,1,0,0,0,0,14,0,2,98,0,14,0, , , , , , , , , , , , , , ,5,2,2,92,1,42,8,6,1,9,5,5,23,28,5,1,2,92,1,42,8,6,1,9,3,3,20,23,4,2,2,92,1,42,8,6,1,9,5,5,23,28,5,98,6,12,97,997,98,8,8,98,8,98,28,30,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,8,8,98,1953
8,9,11,48,2,2,8,11,6,99,999,3,1,10,1,4,1,2,2,2,3,2,2,3,1,2,1,1,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,11,1,1,15,2,8,8,8,8,8,8,8,8,8,8,2,23,98,98,2,24,26,80,80,2,4,3,2,3,3,2,2,4,1,1,1,3,1,0,8,5,5,5,5,5,5,3,3,3,3,3,2,2,15,8,219,1,99,2,79,3,54,1,7,2,2,5,1,1,0,1,0,0,99,0,1,5,0,6,0,7,3,2,79,10,275,8,6,1,7,3,99,38,48, , , , , , , , , , , , , , , ,1,2,28,8,187,8,6,1,7,6,4,15,23,5,98,6,12,97,997,98,8,8,98,8,98,23,32,98,2,2,38,8,189,8,6,1,4,2,1,32,38,2,3,2,79,10,275,8,6,1,7,3,99,38,48,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,4,0,98,1935
9,10,11,30,2,1,3,21,8,10,270,3,1,4,1,8,1,2,2,2,2,3,3,3,3,4,3,2,2,2,5,2,3,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,21,1,1,15,1,0,0,0,1,0,0,0,1,1,2,2,21,98,98,2,22,25,80,80,1,4,4,4,4,1,4,4,4,5,5,5,5,5,1,1,8,8,8,8,8,9,8,1,1,1,4,7,2,15,8,219,1,99,1,15,8,219,8,3,1,2,4,1,1,0,0,0,0,13,0,1,2,0,12,0,7,3,5,12,8,147,5,6,8,1,8,7,27,30, , , , , , , , , , , , , , , ,1,2,77,10,270,12,6,1,2,1,3,15,18,3,2,2,77,10,270,12,6,2,2,2,1,18,21,4,98,6,12,97,997,98,8,8,98,8,98,21,27,98,3,5,12,8,147,5,6,8,1,8,7,27,30,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,1,3,98,1953
