,lctn,gndr_F,gndr_M,ch_CONN,ch_DCT,ch_ORS,ch_SCH,ch_UNK,ind_AFF,ind_COM,ind_HI,ind_LI,ind_MFG_ORS,ind_SRV,ind_UNK,gdn_occ_AFF,gdn_occ_MFG,gdn_occ_ORS,gdn_occ_SRV,gdn_occ_UE,gdn_occ_UK,gdn_occ_UNK,gdn_occ_WC
0,1,87,143,47,1,0,162,20,1,18,166,22,3,8,3,230,0,0,0,0,0,0,0
1,10,11,58,18,0,0,46,5,0,4,42,17,0,5,0,69,0,0,0,0,0,0,0
2,101,22,25,20,0,0,23,4,0,10,15,9,0,10,2,47,0,0,0,0,0,0,0
3,102,60,103,58,1,0,101,3,8,31,50,37,8,21,6,163,0,0,0,0,0,0,0
4,11,38,38,23,0,0,33,20,0,6,27,35,2,2,2,76,0,0,0,0,0,0,0
5,110,98,54,61,9,0,61,21,12,37,12,58,9,20,4,152,0,0,0,0,0,0,0
6,12,27,20,14,2,0,26,5,1,6,10,18,0,5,7,47,0,0,0,0,0,0,0
7,120,36,22,22,2,0,8,26,1,12,2,25,7,9,2,58,0,0,0,0,0,0,0
8,13,15,30,24,0,0,17,4,0,7,26,6,2,3,0,45,0,0,0,0,0,0,0
9,130,39,28,28,0,0,33,6,3,7,13,13,10,6,4,67,0,0,0,0,0,0,0
10,14,8,34,9,1,0,32,0,0,9,22,5,4,2,0,42,0,0,0,0,0,0,0
11,140,85,116,77,1,0,102,21,1,56,32,54,30,16,2,201,0,0,0,0,0,0,0
12,15,10,14,14,0,0,9,1,0,13,3,3,0,5,0,24,0,0,0,0,0,0,0
13,16,18,25,15,0,0,27,1,0,12,4,21,3,2,1,43,0,0,0,0,0,0,0
14,17,4,5,7,0,0,1,1,0,2,3,2,1,1,0,9,0,0,0,0,0,0,0
15,18,4,3,2,0,0,5,0,0,3,2,2,0,0,0,7,0,0,0,0,0,0,0
16,19,43,41,12,2,0,62,8,0,7,57,12,0,3,3,84,0,0,0,0,0,0,0
17,20,33,45,27,2,0,41,8,1,24,31,3,2,4,9,78,0,0,0,0,0,0,0
18,30,2,6,5,0,0,2,1,0,3,2,0,0,2,1,8,0,0,0,0,0,0,0
19,40,33,75,46,7,0,40,15,11,26,32,12,8,14,4,108,0,0,0,0,0,0,0
20,50,18,21,19,0,0,18,2,4,15,5,4,3,8,0,39,0,0,0,0,0,0,0
21,60,49,80,40,2,1,58,28,1,19,67,22,4,14,2,129,0,0,0,0,0,0,0
22,70,21,41,24,0,1,26,11,0,7,29,17,1,8,0,62,0,0,0,0,0,0,0
23,80,59,85,72,1,1,48,22,0,44,33,34,14,10,9,144,0,0,0,0,0,0,0
24,9,6,37,25,0,0,12,6,0,22,9,1,2,4,5,43,0,0,0,0,0,0,0
25,90,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26,91,33,48,35,1,0,34,11,2,15,13,13,12,25,1,81,0,0,0,0,0,0,0
27,92,5,9,9,0,0,5,0,0,6,0,2,1,2,3,14,0,0,0,0,0,0,0
28,93,61,36,31,4,0,59,3,3,21,5,46,4,16,1,97,0,0,0,0,0,0,0
