,lctn,gndr_F,gndr_M,ch_CONN,ch_DCT,ch_ORS,ch_SCH,ch_UNK,ind_AFF,ind_COM,ind_HI,ind_LI,ind_MFG_ORS,ind_SRV,ind_UNK,gdn_occ_AFF,gdn_occ_MFG,gdn_occ_ORS,gdn_occ_SRV,gdn_occ_UE,gdn_occ_UK,gdn_occ_UNK,gdn_occ_WC
0,1,963.0,1108.0,357.0,6.0,1.0,1621.0,86.0,1.0,171.0,1553.0,189.0,21.0,85.0,8.0,230.0,865.0,173.0,235.0,268.0,15.0,0.0,285.0
1,10,324.0,599.0,181.0,0.0,0.0,689.0,53.0,0.0,41.0,593.0,223.0,13.0,34.0,3.0,69.0,367.0,84.0,84.0,159.0,34.0,2.0,124.0
2,101,59.0,63.0,61.0,1.0,0.0,45.0,15.0,2.0,29.0,35.0,25.0,2.0,22.0,6.0,47.0,16.0,13.0,14.0,17.0,1.0,0.0,14.0
3,102,141.0,175.0,117.0,2.0,0.0,191.0,6.0,12.0,77.0,87.0,75.0,12.0,37.0,9.0,163.0,42.0,26.0,27.0,37.0,3.0,0.0,18.0
4,11,129.0,86.0,51.0,0.0,0.0,100.0,64.0,0.0,16.0,85.0,93.0,4.0,8.0,6.0,76.0,55.0,14.0,23.0,27.0,0.0,0.0,20.0
5,110,160.0,90.0,109.0,13.0,0.0,97.0,31.0,13.0,73.0,20.0,84.0,16.0,35.0,9.0,152.0,32.0,12.0,19.0,25.0,1.0,0.0,9.0
6,12,89.0,109.0,70.0,2.0,1.0,117.0,8.0,1.0,43.0,46.0,58.0,0.0,24.0,10.0,47.0,49.0,20.0,17.0,37.0,6.0,1.0,21.0
7,120,45.0,34.0,33.0,3.0,0.0,13.0,30.0,2.0,14.0,3.0,36.0,10.0,12.0,2.0,58.0,7.0,7.0,3.0,2.0,0.0,0.0,2.0
8,13,152.0,218.0,150.0,7.0,0.0,195.0,18.0,0.0,81.0,148.0,54.0,28.0,53.0,4.0,45.0,111.0,39.0,45.0,57.0,4.0,0.0,69.0
9,130,106.0,55.0,53.0,0.0,0.0,90.0,18.0,5.0,15.0,26.0,26.0,19.0,15.0,6.0,67.0,23.0,14.0,26.0,18.0,1.0,0.0,12.0
10,14,177.0,369.0,168.0,4.0,0.0,357.0,17.0,1.0,114.0,203.0,100.0,60.0,59.0,7.0,42.0,171.0,72.0,83.0,105.0,11.0,0.0,62.0
11,140,385.0,426.0,291.0,2.0,0.0,425.0,93.0,4.0,243.0,129.0,213.0,70.0,99.0,13.0,201.0,143.0,94.0,145.0,145.0,5.0,0.0,78.0
12,15,270.0,252.0,246.0,13.0,1.0,248.0,14.0,0.0,223.0,39.0,86.0,20.0,148.0,6.0,24.0,133.0,82.0,87.0,112.0,5.0,0.0,79.0
13,16,263.0,299.0,197.0,7.0,0.0,349.0,9.0,0.0,137.0,80.0,255.0,31.0,44.0,7.0,43.0,152.0,75.0,89.0,111.0,8.0,0.0,84.0
14,17,61.0,72.0,77.0,0.0,0.0,50.0,6.0,0.0,40.0,34.0,35.0,5.0,13.0,2.0,9.0,43.0,26.0,15.0,20.0,0.0,0.0,20.0
15,18,41.0,57.0,26.0,1.0,0.0,71.0,0.0,0.0,17.0,40.0,32.0,0.0,8.0,1.0,7.0,37.0,16.0,10.0,16.0,0.0,0.0,12.0
16,19,124.0,174.0,46.0,3.0,0.0,227.0,22.0,1.0,35.0,192.0,36.0,2.0,15.0,4.0,84.0,58.0,34.0,44.0,43.0,4.0,0.0,31.0
17,20,150.0,171.0,90.0,11.0,0.0,198.0,22.0,2.0,118.0,94.0,25.0,5.0,37.0,28.0,78.0,66.0,39.0,48.0,52.0,13.0,0.0,25.0
18,30,23.0,32.0,26.0,6.0,0.0,19.0,4.0,1.0,21.0,14.0,4.0,1.0,8.0,6.0,8.0,14.0,11.0,6.0,9.0,2.0,0.0,5.0
19,40,544.0,709.0,411.0,71.0,0.0,734.0,37.0,12.0,359.0,402.0,190.0,70.0,187.0,31.0,108.0,359.0,260.0,110.0,262.0,31.0,0.0,123.0
20,50,37.0,42.0,40.0,0.0,0.0,36.0,3.0,9.0,26.0,13.0,8.0,4.0,19.0,0.0,39.0,7.0,5.0,9.0,16.0,0.0,0.0,3.0
21,60,185.0,210.0,127.0,2.0,2.0,190.0,74.0,1.0,75.0,178.0,74.0,16.0,40.0,9.0,129.0,61.0,32.0,45.0,70.0,6.0,0.0,52.0
22,70,70.0,109.0,72.0,0.0,1.0,69.0,37.0,1.0,35.0,74.0,41.0,5.0,16.0,6.0,62.0,27.0,10.0,22.0,28.0,5.0,0.0,25.0
23,80,202.0,252.0,238.0,14.0,2.0,151.0,49.0,0.0,149.0,100.0,99.0,27.0,51.0,20.0,144.0,69.0,42.0,61.0,86.0,5.0,0.0,47.0
24,9,79.0,146.0,118.0,11.0,0.0,80.0,16.0,0.0,62.0,68.0,25.0,24.0,33.0,12.0,43.0,50.0,28.0,22.0,44.0,4.0,0.0,34.0
25,90,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,91,78.0,74.0,75.0,2.0,0.0,58.0,17.0,2.0,44.0,25.0,20.0,16.0,42.0,3.0,81.0,16.0,10.0,8.0,15.0,1.0,0.0,21.0
27,92,12.0,18.0,18.0,2.0,0.0,10.0,0.0,0.0,15.0,0.0,2.0,2.0,6.0,4.0,14.0,1.0,6.0,2.0,4.0,0.0,0.0,3.0
28,93,113.0,76.0,67.0,8.0,0.0,101.0,13.0,5.0,48.0,10.0,78.0,7.0,34.0,5.0,97.0,29.0,12.0,23.0,15.0,3.0,0.0,10.0
