agey,area12y_hokkaido,area12y_aomori,area12y_iwate,area12y_miyagi,area12y_akita,area12y_yamagata,area12y_fukushima,area12y_ibaraki,area12y_tochigi,area12y_gumma,area12y_saitama,area12y_chiba,area12y_tokyo,area12y_kanagawa,area12y_niigata,area12y_toyama,area12y_ishikawa,area12y_fukui,area12y_yamanashi,area12y_nagano,area12y_gifu,area12y_shizuoka,area12y_aichi,area12y_mie,area12y_shiga,area12y_kyoto,area12y_osaka,area12y_hyogo,area12y_nara,area12y_wakayama,area12y_tottori,area12y_shimane,area12y_okayama,area12y_hiroshima,area12y_yamaguchi,area12y_tokushima,area12y_kagawa,area12y_ehime,area12y_kouchi,area12y_fukuoka,area12y_saga,area12y_nagasaki,area12y_kumamoto,area12y_ooita,area12y_miyazaki,area12y_kagoshima,area12y_okinawa
15,0,0,0,0,1,0,0,0,1,2,0,0,3,66,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,2,0,0,0,1,4,6,4,3,5,9,140,2,0,0,0,0,4,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1,1,0,3,0,5,2,2,3,3,3,1,10,121,4,0,0,0,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,0,0,2,2,0,5,9,7,5,9,7,6,20,217,6,1,0,1,8,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
19,1,0,1,9,4,11,6,13,14,10,4,11,58,241,13,1,0,0,1,10,0,5,0,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,1,3,0,0,0,0,0,4,0
20,1,0,2,13,9,9,9,7,11,9,10,8,58,271,16,1,1,0,8,10,0,8,1,0,1,0,0,3,0,2,0,2,0,1,1,0,0,0,0,1,1,1,1,0,0,2,0
21,2,2,1,29,5,14,21,20,24,30,13,11,66,254,27,4,1,0,9,8,0,8,0,0,1,1,3,3,0,0,0,0,1,1,1,0,1,0,0,2,0,1,1,2,0,3,0
22,6,4,7,12,3,16,32,21,19,27,13,11,63,238,40,1,1,0,8,15,0,11,2,1,0,0,3,3,0,0,0,1,2,1,0,0,0,2,0,1,1,0,1,1,0,6,0
23,3,3,4,31,11,31,30,15,17,24,10,14,74,234,38,5,1,1,14,13,1,8,2,2,0,0,2,2,0,1,0,0,0,2,1,0,1,0,1,2,1,0,0,2,1,9,0
24,3,1,7,26,14,22,43,20,27,35,10,17,98,198,36,2,0,1,9,14,2,10,2,1,0,0,3,0,0,0,0,2,2,2,2,0,1,0,1,4,1,1,1,1,0,5,0
